dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
9.34,-2.03,9.1,2.75,False
0.86,-4.98,6.46,-0.79,False
1.33,-2.39,4.37,-4.63,False
0.09,-5.58,6.4,4.65,False
2.2,0.52,3.39,-0.7,False
0.3,-2.26,10.31,0.54,False
0.1,-2.51,10.18,0.26,False
1.17,-5.52,6.35,4.65,False
0.1,-0.1,2.03,4.59,False
2.75,-4.46,4.46,-0.28,False
4.96,-1.52,3.98,-0.54,False
0.32,-5.05,6.32,0.96,False
10.14,0.28,2.0,0.24,False
0.1,-1.77,5.21,-6.61,False
5.21,-1.74,4.24,0.54,False
5.52,1.47,2.25,0.59,False
6.9,-0.04,6.16,4.03,False
6.42,-2.94,11.69,-0.04,False
0.09,-2.61,4.87,0.1,False
0.1,-3.06,8.52,-4.43,False
0.06,-3.86,5.1,1.43,False
0.09,-2.77,3.43,7.21,False
6.27,-5.73,7.02,0.67,False
6.78,0.16,2.52,0.51,False
0.1,-5.8,7.58,-2.29,False
8.8,-0.44,1.29,2.33,False
0.09,-1.95,13.64,-1.4,False
3.09,-5.09,6.27,2.24,False
0.1,-0.76,7.61,6.13,False
11.61,-1.36,9.23,2.13,False
1.74,-3.77,13.88,0.43,False
2.05,-3.01,10.49,-1.16,False
